id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id3188770,1,2016-01-03 16:59:02,2016-01-03 17:04:50,1,-73.985137939453125,40.732192993164063,-73.989639282226563,40.720874786376953,N,348
id1956279,2,2016-02-26 08:37:00,2016-02-26 08:43:15,1,-73.981658935546875,40.778972625732422,-73.969810485839844,40.792129516601563,N,375
id2391523,1,2016-05-18 21:50:24,2016-05-18 22:10:41,3,-73.966163635253906,40.766914367675781,-73.992179870605469,40.725818634033203,N,1217
id2662609,1,2016-04-10 19:11:03,2016-04-10 19:25:39,1,-73.965469360351562,40.765846252441406,-73.960952758789063,40.796928405761719,N,876
id2067879,2,2016-01-19 23:19:01,2016-01-19 23:44:58,1,-73.996818542480469,40.752861022949219,-73.809005737304688,40.816875457763672,N,1557
id1939961,1,2016-05-07 13:18:52,2016-05-07 13:46:19,1,-73.977256774902344,40.774246215820313,-73.990013122558594,40.732654571533203,N,1647
id0675800,2,2016-02-15 09:25:15,2016-02-15 09:35:49,6,-73.977752685546875,40.754631042480469,-74.001678466796875,40.756420135498047,N,634
id2569332,1,2016-04-13 14:24:47,2016-04-13 14:30:52,1,-73.968727111816406,40.78643798828125,-73.960494995117188,40.778152465820313,N,365
id0526266,2,2016-05-15 09:42:58,2016-05-15 09:56:37,1,-73.934883117675781,40.801010131835938,-73.983001708984375,40.722568511962891,N,819
id3827863,2,2016-04-19 11:29:08,2016-04-19 12:27:56,3,-73.792892456054688,40.657878875732422,-73.809188842773438,40.690181732177734,N,3528
id1388344,2,2016-01-02 15:41:11,2016-01-02 16:01:39,2,-73.982337951660156,40.762809753417969,-73.982856750488281,40.748779296875,N,1228
id1079955,1,2016-04-22 11:28:00,2016-04-22 12:11:27,1,-73.994850158691406,40.718780517578125,-73.983413696289062,40.75885009765625,N,2607
id0256505,1,2016-03-14 15:04:38,2016-03-14 15:16:13,1,-73.994483947753906,40.745086669921875,-73.998992919921875,40.722709655761719,N,695
id1530524,1,2016-03-19 17:41:05,2016-03-19 17:48:57,1,-73.953422546386719,40.767658233642578,-73.980316162109375,40.737781524658203,N,472
id1674872,1,2016-02-29 02:46:24,2016-02-29 02:55:10,1,-73.951850891113281,40.714069366455078,-73.967971801757813,40.688720703125,N,526
id1040444,2,2016-01-07 17:01:32,2016-01-07 17:13:33,4,-73.976951599121094,40.752021789550781,-74.001213073730469,40.751613616943359,N,721
id1674996,1,2016-05-13 12:32:12,2016-05-13 12:40:44,1,-74.001800537109375,40.72613525390625,-74.007156372070312,40.740806579589844,N,512
id1965939,1,2016-05-24 12:16:33,2016-05-24 12:28:33,1,-73.994094848632812,40.761550903320313,-73.980636596679688,40.789638519287109,N,720
id0442192,1,2016-04-10 16:07:46,2016-04-10 16:10:40,1,-74.006324768066406,40.733390808105469,-74.000007629394531,40.743255615234375,N,174
id0515898,2,2016-05-21 17:38:55,2016-05-21 17:46:53,1,-74.002571105957031,40.739311218261719,-73.99188232421875,40.744998931884766,N,478
id1182327,2,2016-02-29 11:22:35,2016-02-29 11:35:43,1,-73.94830322265625,40.774436950683594,-73.963706970214844,40.755485534667969,N,788
id3913101,1,2016-06-25 22:05:46,2016-06-25 22:22:29,2,-74.001411437988281,40.761432647705078,-73.924629211425781,40.864028930664063,N,1003
id1680350,1,2016-03-18 20:56:16,2016-03-18 20:59:51,1,-74.002983093261719,40.723312377929688,-74.001556396484375,40.728824615478516,N,215
id0913838,2,2016-02-03 16:22:50,2016-02-03 16:37:20,5,-73.97833251953125,40.754070281982422,-73.959732055664063,40.772758483886719,N,870
id3896508,2,2016-06-07 22:32:32,2016-06-07 22:46:06,1,-73.863380432128906,40.769889831542969,-73.837127685546875,40.721359252929688,N,814
id2846400,2,2016-03-16 20:13:12,2016-03-16 20:23:49,1,-73.99725341796875,40.717960357666016,-73.999252319335938,40.730018615722656,N,637
id1510700,2,2016-02-20 21:58:13,2016-02-20 21:59:10,1,-73.958396911621094,40.772628784179688,-73.955131530761719,40.774242401123047,N,57
id0813128,2,2016-02-20 18:57:43,2016-02-20 19:07:32,2,-73.991203308105469,40.749553680419922,-73.979194641113281,40.746307373046875,N,589
id1158195,1,2016-03-24 17:58:51,2016-03-24 18:36:46,1,-73.992324829101563,40.730720520019531,-73.872505187988281,40.774497985839844,N,2275
id0959273,1,2016-03-20 23:16:39,2016-03-20 23:27:26,1,-73.988838195800781,40.768901824951172,-73.955535888671875,40.771743774414063,N,647
id0739660,1,2016-05-16 13:07:10,2016-05-16 13:34:18,3,-73.9647216796875,40.806606292724609,-73.984573364257813,40.760677337646484,N,1628
id3769871,1,2016-06-17 17:32:59,2016-06-17 18:11:56,1,-73.943145751953125,40.789630889892578,-73.989479064941406,40.762763977050781,N,2337
id1818021,1,2016-03-23 00:34:10,2016-03-23 00:45:24,1,-74.01116943359375,40.703605651855469,-74.005691528320313,40.741359710693359,N,674
id0982165,2,2016-04-12 21:29:16,2016-04-12 21:49:06,1,-73.980316162109375,40.75885009765625,-74.010139465332031,40.705081939697266,N,1190
id1519515,2,2016-06-11 12:52:19,2016-06-11 13:12:10,1,-73.950492858886719,40.771266937255859,-74.001243591308594,40.746490478515625,N,1191
id1082443,2,2016-02-25 14:56:26,2016-02-25 15:09:31,1,-73.98712158203125,40.768474578857422,-73.975822448730469,40.759712219238281,N,785
id2934884,2,2016-01-07 19:32:15,2016-01-07 19:40:55,1,-73.98638916015625,40.756614685058594,-73.999794006347656,40.761631011962891,N,520
id1205949,1,2016-06-05 18:43:14,2016-06-05 18:46:52,1,-73.962608337402344,40.758827209472656,-73.954193115234375,40.764053344726562,N,218
id2592310,2,2016-06-13 07:20:46,2016-06-13 07:24:28,1,-73.99041748046875,40.756881713867188,-73.981979370117187,40.759990692138672,N,222
id0883711,1,2016-01-16 21:22:41,2016-01-16 21:42:45,1,-73.993637084960938,40.734218597412109,-73.961463928222656,40.769298553466797,N,1204
id0283075,1,2016-04-06 23:42:26,2016-04-07 00:12:08,1,-73.782478332519531,40.644645690917969,-73.981124877929688,40.72088623046875,N,1782
id2107497,1,2016-05-13 20:46:55,2016-05-13 21:06:29,2,-74.013954162597656,40.712833404541016,-73.997550964355469,40.718074798583984,N,1174
id2090852,2,2016-01-28 11:25:20,2016-01-28 11:30:56,1,-73.968826293945313,40.754196166992188,-73.972755432128906,40.746612548828125,N,336
id1297351,2,2016-06-24 14:24:31,2016-06-24 14:32:21,1,-74.003288269042969,40.726970672607422,-73.993301391601563,40.739120483398437,N,470
id0667605,2,2016-05-27 16:17:36,2016-05-27 16:23:22,1,-73.991058349609375,40.739570617675781,-74.006103515625,40.734550476074219,N,346
id1476107,1,2016-05-22 15:41:29,2016-05-22 15:48:28,1,-73.966880798339844,40.788681030273438,-73.962821960449219,40.775726318359375,N,419
id0673727,2,2016-05-18 19:15:27,2016-05-18 19:44:49,1,-73.961677551269531,40.775966644287109,-73.857391357421875,40.733283996582031,N,1762
id2030290,1,2016-03-31 11:33:30,2016-03-31 12:12:31,3,-73.86431884765625,40.769828796386719,-73.985862731933594,40.760951995849609,N,2341
id3770790,1,2016-02-13 13:12:49,2016-02-13 13:19:35,1,-73.992233276367188,40.744281768798828,-74.008232116699219,40.748825073242188,N,406
id3025098,2,2016-01-20 19:21:31,2016-01-20 19:31:27,1,-73.976982116699219,40.750301361083984,-73.999122619628906,40.739509582519531,N,596
id3333094,2,2016-06-02 23:34:00,2016-06-02 23:41:15,1,-73.973464965820313,40.755229949951172,-73.977363586425781,40.742820739746094,N,435
id2228940,1,2016-02-04 13:22:02,2016-02-04 13:40:30,1,-73.981864929199219,40.758773803710937,-73.970222473144531,40.784141540527344,N,1108
id2102594,1,2016-03-30 16:14:29,2016-03-30 17:01:33,1,-73.789840698242188,40.643558502197266,-73.970664978027344,40.687278747558594,N,2824
id0010677,1,2016-04-29 10:40:34,2016-04-29 10:53:23,2,-73.991973876953125,40.749996185302734,-73.977882385253906,40.754894256591797,N,769
id3194108,1,2016-06-01 11:48:41,2016-06-01 12:19:07,1,-74.005027770996094,40.746452331542969,-73.972007751464844,40.745780944824219,N,1826
id2063827,1,2016-05-18 21:09:02,2016-05-18 21:18:55,1,-73.981414794921875,40.756732940673828,-73.970565795898438,40.755695343017578,N,593
id0105610,1,2016-02-19 20:01:24,2016-02-19 20:35:49,3,-73.789718627929688,40.643707275390625,-73.97869873046875,40.750343322753906,N,2065
id3502065,1,2016-03-15 21:03:44,2016-03-15 21:14:37,1,-73.974014282226563,40.757152557373047,-73.949737548828125,40.777091979980469,N,653
id3508035,2,2016-06-06 20:13:56,2016-06-06 20:45:20,6,-73.788131713867188,40.641460418701172,-73.971771240234375,40.749408721923828,N,1884
id3236276,2,2016-01-27 08:07:32,2016-01-27 08:24:01,1,-73.956039428710937,40.767608642578125,-73.96820068359375,40.786689758300781,N,989
id3277902,1,2016-04-09 15:04:31,2016-04-09 15:11:30,1,-73.973167419433594,40.755699157714844,-73.988655090332031,40.736995697021484,N,419
id2335059,1,2016-05-27 11:10:32,2016-05-27 11:26:34,4,-73.975807189941406,40.760627746582031,-73.987785339355469,40.754920959472656,N,962
id2300865,1,2016-05-10 10:31:22,2016-05-10 10:35:25,1,-73.96588134765625,40.762840270996094,-73.960990905761719,40.7708740234375,N,243
id3962434,2,2016-01-10 08:45:31,2016-01-10 08:51:44,2,-73.989273071289063,40.756488800048828,-74.002799987792969,40.760501861572266,N,373
id2677672,1,2016-02-18 17:47:39,2016-02-18 17:54:03,2,-73.945755004882813,40.773681640625,-73.95343017578125,40.781078338623047,N,384
id0589360,1,2016-05-22 17:34:08,2016-05-22 18:20:01,1,-73.863677978515625,40.769771575927734,-74.007217407226563,40.70489501953125,N,2753
id0970832,1,2016-03-12 20:39:39,2016-03-12 21:05:40,1,-74.008247375488281,40.747352600097656,-73.979446411132813,40.71875,N,1561
id0694434,1,2016-01-26 23:40:14,2016-01-26 23:48:39,1,-74.006797790527344,40.706073760986328,-73.974021911621094,40.744075775146484,N,505
id3729136,2,2016-01-30 15:15:47,2016-01-30 15:30:47,2,-73.977272033691406,40.757350921630859,-74.002433776855469,40.734401702880859,N,900
id2358953,2,2016-06-27 00:31:28,2016-06-27 01:06:44,1,-73.870819091796875,40.773738861083984,-73.857498168945313,41.017810821533203,N,2116
id0935429,1,2016-05-02 06:58:06,2016-05-02 07:08:17,1,-73.999092102050781,40.745491027832031,-73.978561401367188,40.762325286865234,N,611
id3056417,2,2016-04-11 14:18:21,2016-04-11 14:34:33,1,-73.984359741210937,40.742710113525391,-73.987747192382813,40.751888275146484,N,972
id1152886,2,2016-01-21 14:34:06,2016-01-21 14:44:10,1,-73.961677551269531,40.77117919921875,-73.952110290527344,40.784358978271484,N,604
id1796723,1,2016-02-09 15:54:53,2016-02-09 16:04:47,1,-73.993858337402344,40.735797882080078,-73.994621276855469,40.750461578369141,N,594
id0045014,1,2016-04-20 20:29:42,2016-04-20 20:39:16,1,-73.950126647949219,40.780086517333984,-73.96282958984375,40.762683868408203,N,574
id2648478,1,2016-01-18 11:13:59,2016-01-18 11:18:56,1,-73.951576232910156,40.766468048095703,-73.960212707519531,40.760540008544922,N,297
id0702030,1,2016-01-07 23:24:44,2016-01-07 23:26:25,1,-73.999298095703125,40.749534606933594,-74.005363464355469,40.743518829345703,N,101
id3024438,2,2016-06-10 22:24:37,2016-06-10 22:41:58,1,-73.953720092773438,40.775295257568359,-73.991195678710938,40.726318359375,N,1041
id2146569,2,2016-06-23 22:17:35,2016-06-23 22:21:07,1,-73.976799011230469,40.749950408935547,-73.9815673828125,40.745769500732422,N,212
id2307151,1,2016-02-07 18:08:06,2016-02-07 18:15:08,1,-73.961952209472656,40.800445556640625,-73.978416442871094,40.782791137695312,N,422
id2049424,2,2016-03-02 20:15:07,2016-03-02 20:37:43,1,-73.963890075683594,40.773651123046875,-74.005111694335938,40.751491546630859,N,1356
id2209089,1,2016-02-24 22:56:43,2016-02-24 23:03:39,1,-74.006912231445313,40.730361938476563,-74.005943298339844,40.727069854736328,N,416
id0391524,1,2016-04-06 12:14:40,2016-04-06 12:33:18,1,-73.978645324707031,40.748035430908203,-73.970130920410156,40.762737274169922,N,1118
id2681033,1,2016-06-17 10:01:39,2016-06-17 10:16:13,1,-73.976829528808594,40.788211822509766,-73.983749389648438,40.762531280517578,N,874
id2040275,1,2016-06-16 20:31:09,2016-06-16 20:36:30,1,-73.936943054199219,40.798233032226563,-73.946380615234375,40.7808837890625,N,321
id0073842,2,2016-03-30 23:49:41,2016-03-30 23:56:21,1,-73.99005126953125,40.738010406494141,-73.990936279296875,40.725215911865234,N,400
id3942339,1,2016-01-05 17:58:04,2016-01-05 18:13:38,1,-73.978828430175781,40.752803802490234,-73.991035461425781,40.750419616699219,N,934
id2991616,2,2016-03-19 19:51:34,2016-03-19 20:04:27,3,-73.983566284179688,40.755561828613281,-73.982368469238281,40.766960144042969,N,773
id1047459,2,2016-01-22 17:31:53,2016-01-22 17:37:30,3,-73.988410949707031,40.758960723876953,-73.991897583007812,40.77069091796875,N,337
id1737558,1,2016-05-18 19:08:31,2016-05-18 19:12:25,1,-73.960235595703125,40.762229919433594,-73.950592041015625,40.775314331054687,N,234
id2135557,2,2016-05-25 13:19:56,2016-05-25 13:27:50,5,-73.970283508300781,40.76483154296875,-73.957572937011719,40.782478332519531,N,474
id0659170,2,2016-03-26 13:07:08,2016-03-26 13:29:02,1,-73.968658447265625,40.764507293701172,-73.872833251953125,40.771453857421875,N,1314
id1125774,1,2016-01-19 22:20:43,2016-01-19 22:28:45,2,-73.994537353515625,40.740234375,-73.976188659667969,40.762592315673828,N,482
id1886740,1,2016-05-29 00:15:12,2016-05-29 00:24:38,1,-73.985115051269531,40.768726348876953,-73.951667785644531,40.774433135986328,N,566
id1982306,2,2016-02-10 21:06:14,2016-02-10 21:09:23,2,-73.984939575195313,40.751857757568359,-73.983543395996094,40.744335174560547,N,189
id2684106,2,2016-02-26 20:59:13,2016-02-26 21:14:26,2,-74.001007080078125,40.731781005859375,-73.987152099609375,40.771003723144531,N,913
id0038484,2,2016-03-09 13:41:11,2016-03-09 13:53:27,2,-73.972854614257813,40.764400482177734,-73.971809387207031,40.757888793945313,N,736
id1734208,2,2016-04-11 10:44:32,2016-04-11 10:56:26,6,-73.997077941894531,40.720638275146484,-73.9996337890625,40.745838165283203,N,714
id0561467,1,2016-02-09 06:58:53,2016-02-09 07:12:28,1,-73.972549438476562,40.794017791748047,-73.954055786132813,40.766300201416016,N,815
id3092788,2,2016-03-03 22:01:32,2016-03-03 22:17:44,2,-73.984771728515625,40.7105712890625,-73.989410400390625,40.730148315429687,N,972
id1741519,2,2016-03-26 14:47:44,2016-03-26 14:53:02,1,-73.984786987304688,40.743015289306641,-73.993606567382812,40.735286712646484,N,318
id1330402,2,2016-05-22 18:06:05,2016-05-22 18:16:30,1,-73.9918212890625,40.750076293945312,-73.971054077148438,40.756698608398438,N,625
id2505596,2,2016-05-28 22:53:12,2016-05-28 23:07:31,1,-73.9849853515625,40.748580932617188,-73.981277465820313,40.769115447998047,N,859
id1630509,2,2016-03-16 05:42:49,2016-03-16 05:45:10,2,-73.993667602539063,40.741878509521484,-73.984588623046875,40.754299163818359,N,141
id0512853,1,2016-05-28 17:40:21,2016-05-28 17:56:44,1,-73.969566345214844,40.7691650390625,-73.986526489257813,40.730335235595703,N,983
id3089912,2,2016-06-13 13:22:04,2016-06-13 13:31:29,2,-73.989959716796875,40.741081237792969,-73.976966857910156,40.747451782226563,N,565
id1137965,1,2016-05-16 15:02:10,2016-05-16 15:08:01,1,-73.9891357421875,40.775020599365234,-73.981819152832031,40.766059875488281,N,351
id3677225,2,2016-01-09 15:07:03,2016-01-09 15:12:45,1,-73.967880249023438,40.759811401367188,-73.953826904296875,40.778881072998047,N,342
id0401226,1,2016-05-26 06:37:10,2016-05-26 06:52:19,4,-74.006706237792969,40.705554962158203,-73.991691589355469,40.749721527099609,N,909
id2452605,2,2016-05-22 22:42:31,2016-05-22 22:46:18,1,-73.996269226074219,40.749851226806641,-73.994766235351563,40.736480712890625,N,227
id3618302,2,2016-04-19 09:27:04,2016-04-19 09:45:02,6,-73.987319946289062,40.750640869140625,-73.989288330078125,40.769405364990234,N,1078
id1552358,2,2016-04-01 07:55:30,2016-04-01 08:10:30,1,-73.975433349609375,40.752132415771484,-73.99078369140625,40.750942230224609,N,900
id1168234,1,2016-02-01 18:02:59,2016-02-01 18:13:30,1,-74.000205993652344,40.737846374511719,-74.000312805175781,40.722866058349609,N,631
id2910320,2,2016-04-20 07:33:12,2016-04-20 07:56:17,1,-73.955459594726563,40.767307281494141,-73.988998413085938,40.693168640136719,N,1385
id3331830,1,2016-04-12 09:21:27,2016-04-12 09:35:56,1,-73.964866638183594,40.755790710449219,-73.975807189941406,40.757354736328125,N,869
id0195963,2,2016-06-19 18:39:05,2016-06-19 18:48:39,1,-73.999160766601563,40.744369506835938,-73.98870849609375,40.758701324462891,N,574
id0762989,2,2016-03-17 08:24:27,2016-03-17 08:26:11,1,-73.977615356445313,40.763572692871094,-73.972572326660156,40.765956878662109,N,104
id2671060,2,2016-04-07 08:44:32,2016-04-07 08:51:30,1,-73.953117370605469,40.771800994873047,-73.947921752929687,40.783149719238281,N,418
id3620795,1,2016-01-01 10:45:24,2016-01-01 10:51:47,1,-74.001609802246094,40.740810394287109,-73.996223449707031,40.725902557373047,N,383
id2282206,1,2016-01-04 16:32:42,2016-01-04 16:51:19,2,-73.962181091308594,40.810726165771484,-73.994834899902344,40.752811431884766,N,1117
id0591292,1,2016-06-09 18:43:04,2016-06-09 19:07:11,1,-73.986968994140625,40.742851257324219,-73.994285583496094,40.761356353759766,N,1447
id0906779,1,2016-04-19 08:31:48,2016-04-19 09:14:11,2,-73.9715576171875,40.750629425048828,-73.952629089355469,40.631595611572266,N,2543
id2326430,2,2016-06-10 22:06:53,2016-06-10 22:23:14,1,-73.956878662109375,40.774871826171875,-73.936508178710938,40.857185363769531,N,981
id3863815,2,2016-03-14 04:24:36,2016-03-14 04:37:11,3,-73.944358825683594,40.714488983154297,-73.910530090332031,40.709491729736328,N,755
id3048297,2,2016-04-06 08:53:11,2016-04-06 09:14:08,1,-73.972793579101563,40.755596160888672,-73.873123168945313,40.774456024169922,N,1257
id3649509,1,2016-04-02 14:46:23,2016-04-02 15:06:44,2,-74.005546569824219,40.709262847900391,-73.970146179199219,40.762741088867188,N,1221
id1783063,2,2016-04-06 12:24:22,2016-04-06 12:40:02,2,-73.984649658203125,40.745979309082031,-73.977378845214844,40.759651184082031,N,940
id3363012,2,2016-04-12 20:22:49,2016-04-12 20:24:55,1,-73.961967468261719,40.77008056640625,-73.960777282714844,40.775051116943359,N,126
id0514638,1,2016-02-10 08:36:33,2016-02-10 08:42:23,1,-73.96942138671875,40.800033569335938,-73.968177795410156,40.791702270507813,N,350
id0627115,2,2016-02-26 16:10:47,2016-02-26 16:23:04,1,-73.982627868652344,40.762111663818359,-73.993370056152344,40.747489929199219,N,737
id3141299,2,2016-01-14 12:25:54,2016-01-14 12:37:24,3,-73.995773315429688,40.742568969726563,-74.008094787597656,40.722770690917969,N,690
id2003497,1,2016-04-15 11:58:45,2016-04-15 12:09:56,2,-74.000076293945312,40.748298645019531,-73.989883422851562,40.737964630126953,N,671
id3748197,1,2016-02-07 23:17:58,2016-02-07 23:25:41,1,-73.999168395996094,40.734233856201172,-73.982093811035156,40.740276336669922,N,463
id2983261,1,2016-04-15 14:41:14,2016-04-15 14:47:21,1,-74.014251708984375,40.713912963867188,-74.004623413085938,40.70538330078125,N,367
id0485870,2,2016-06-19 20:23:09,2016-06-19 20:29:18,1,-73.990898132324219,40.750663757324219,-73.993217468261719,40.734199523925781,N,369
id0835694,1,2016-01-15 19:25:12,2016-01-15 19:31:54,1,-73.975105285644531,40.755691528320313,-73.985595703125,40.747474670410156,N,402
id3426410,2,2016-02-18 09:27:07,2016-02-18 09:45:20,5,-73.967437744140625,40.759349822998047,-74.012687683105469,40.701610565185547,N,1093
id3673678,2,2016-01-31 13:52:55,2016-01-31 14:03:52,1,-73.975997924804688,40.751136779785156,-74.001853942871094,40.7352294921875,N,657
id2460349,1,2016-01-07 15:40:34,2016-01-07 15:49:24,2,-73.978950500488281,40.750930786132813,-73.964393615722656,40.754962921142578,N,530
id3198639,1,2016-06-05 03:02:46,2016-06-05 03:14:59,1,-73.979789733886719,40.781265258789063,-73.940879821777344,40.823223114013672,N,733
id1872601,2,2016-05-31 19:16:05,2016-05-31 19:27:44,2,-73.986862182617188,40.750961303710938,-74.005378723144531,40.740028381347656,N,699
id0125957,1,2016-06-14 21:16:43,2016-06-14 21:21:37,2,-73.967018127441406,40.753005981445313,-73.951629638671875,40.769359588623047,N,294
